City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
332,Kirakira,SB,81.28,moderate rain,-10.4544,161.9205,SanBiz Lodge
337,Isangel,VU,78.84,overcast clouds,-19.55,169.2667,Tanna Lodge
343,Nouakchott,MR,89.53,broken clouds,18.0858,-15.9785,HOTEL IMAN
345,Katherine,AU,79.12,light rain,-14.4667,132.2667,Pine Tree Motel
354,Thinadhoo,MV,82.45,broken clouds,0.5333,72.9333,
357,Karratha,AU,84.15,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
359,Puerto Madryn,AR,85.48,clear sky,-42.7692,-65.0385,Hotel Tolosa
365,Kalmunai,LK,77.49,overcast clouds,7.4167,81.8167,VS Villa
366,Quelimane,MZ,80.55,broken clouds,-17.8786,36.8883,Hotel Flamingo
367,Kieta,PG,80.74,light rain,-6.2167,155.6333,Uruna Bay Retreat
369,Noumea,NC,76.98,light rain,-22.2763,166.4572,Hôtel Le Lagon
370,Kindu,CD,78.01,overcast clouds,-2.95,25.95,Résidence Okanda
374,Garowe,SO,78.39,broken clouds,8.4054,48.4845,Curubo Hotel
380,Paita,PE,84.76,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
382,Nabire,ID,76.86,overcast clouds,-3.3667,135.4833,Hotel Nusantara Nabire
383,Fomboni,KM,83.5,light rain,-12.28,43.7425,Auberge les abou
389,Vieques,PR,82.38,broken clouds,18.425,-65.8329,"The St. Regis Bahia Beach Resort, Puerto Rico"
392,Zeerust,ZA,85.01,broken clouds,-25.5369,26.0751,Kareespruit Game Ranch and Guest House
393,Coahuayana,MX,83.17,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
397,Sambava,MG,78.75,moderate rain,-14.2667,50.1667,Melrose
399,Kununurra,AU,78.78,moderate rain,-15.7667,128.7333,Hotel Kununurra
404,Gondanglegi,ID,75.45,overcast clouds,-7.7479,112.0132,pondok pesantren mamba'ul 'ulum selo rejo
405,Los Banos,PH,77.81,overcast clouds,14.1667,121.1833,Sol Y Viento Mountain Hot Springs and Resort
406,Vanimo,PG,78.13,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
408,Nieuw Amsterdam,SR,88.02,broken clouds,5.8833,-55.0833,Hotel Stardust
411,Calbayog,PH,75.16,overcast clouds,12.0672,124.6042,Ciriaco Hotel & Resort
