City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
27,Contamana,PE,-7.3333,-75.0167,76.68,86,99,2.15,moderate rain
28,Kaitangata,NZ,-46.2817,169.8464,52.93,82,24,2.55,few clouds
29,Busselton,AU,-33.65,115.3333,61.05,75,93,6.55,overcast clouds
30,Qaanaaq,GL,77.484,-69.3632,0.16,67,100,6.78,overcast clouds
31,Pevek,RU,69.7008,170.3133,-26.73,98,24,1.99,few clouds
32,New Norfolk,AU,-42.7826,147.0587,62.1,71,2,1.05,clear sky
33,Lagoa,PT,39.05,-27.9833,59.36,67,0,11.39,clear sky
34,Vostok,RU,46.4856,135.8833,-4.67,99,100,3.94,overcast clouds
35,Bluff,NZ,-46.6,168.3333,46.8,86,12,5.99,few clouds
36,Te Anau,NZ,-45.4167,167.7167,44.26,91,1,1.25,clear sky
37,Port Alfred,ZA,-33.5906,26.891,78.46,75,0,11.14,clear sky
38,Rio Linda,US,38.691,-121.4486,59.41,82,0,6.91,mist
39,Carnarvon,AU,-24.8667,113.6333,75.27,64,0,20.71,clear sky
40,Nikolskoye,RU,59.7035,30.7861,34.88,98,100,6.89,snow
41,Fasa,IR,28.9383,53.6482,49.24,34,0,0.0,clear sky
42,Cabo San Lucas,MX,22.8909,-109.9124,66.51,73,0,5.75,clear sky
43,Port-Gentil,GA,-0.7193,8.7815,81.12,76,75,7.7,broken clouds
44,Tuatapere,NZ,-46.1333,167.6833,46.81,90,3,4.32,clear sky
45,Lovozero,RU,68.005,35.0117,5.2,95,82,6.89,broken clouds
46,Kavaratti,IN,10.5669,72.642,78.6,69,21,11.25,few clouds
47,Vetas,CO,7.3091,-72.8712,38.48,82,80,0.74,broken clouds
48,Jumla,NP,29.2747,82.1838,30.22,91,7,5.57,clear sky
49,Torquay,GB,50.4638,-3.5143,53.85,94,46,10.0,scattered clouds
50,Kodiak,US,57.79,-152.4072,24.31,74,0,3.44,clear sky
51,Santa Rosa,PH,14.3122,121.1114,79.11,84,99,12.48,overcast clouds
52,Vanavara,RU,60.34,102.2797,-4.25,95,98,7.31,overcast clouds
53,Punta Arenas,CL,-53.15,-70.9167,60.82,87,0,11.5,clear sky
54,Mahebourg,MU,-20.4081,57.7,80.89,83,75,10.36,broken clouds
55,Uppsala,SE,60.0,17.75,32.79,74,21,6.91,few clouds
56,Sioux Lookout,CA,50.1001,-91.917,-0.02,84,100,5.75,overcast clouds
57,Nizhniy Ingash,RU,56.2,96.53,11.62,95,99,6.44,overcast clouds
58,Bojnurd,IR,37.4747,57.329,31.95,69,0,2.3,clear sky
59,Egvekinot,RU,66.3167,-179.1667,-20.56,84,7,12.62,clear sky
60,Hamilton,US,39.1834,-84.5333,36.61,77,75,8.05,broken clouds
61,Tasiilaq,GL,65.6145,-37.6368,24.96,56,100,50.76,overcast clouds
62,Caravelas,BR,-17.7125,-39.2481,86.2,60,75,9.48,broken clouds
63,Mehamn,NO,71.0357,27.8492,21.11,87,99,10.85,overcast clouds
64,Arraial Do Cabo,BR,-22.9661,-42.0278,91.26,52,40,14.97,scattered clouds
65,Vila Velha,BR,-20.3297,-40.2925,85.95,72,75,11.99,broken clouds
66,Nemuro,JP,43.3236,145.575,21.6,79,29,7.43,scattered clouds
67,Linqiong,CN,30.4159,103.4609,39.02,96,100,4.47,moderate rain
